,word,year,count,language,Rank
6422,aptitude,1843,17203,english,3206.0
6423,aptitude,1848,8800,french,4648.0
11962,aptitudes,1883,2970,spanish,4588.0
11963,aptitudes,1917,6040,french,4822.0
3588,apud,1802,458,italian,2876.0
3587,apud,1805,1330,spanish,2914.0
3589,apud,1813,2375,french,4996.0
158,ar,1800,527,german,2061.0
157,ar,1800,316,italian,2510.0
156,ar,1800,1210,spanish,2819.0
155,ar,1800,2172,english,4256.0
159,ar,1800,2666,french,4390.0
11440,ara,1802,692,spanish,4662.0
11441,ara,1807,311,italian,4915.0
11017,arabe,1800,2778,french,4253.0
11016,arabe,1803,894,spanish,3397.0
11159,arabes,1800,8535,french,1354.0
11158,arabes,1801,2184,spanish,1096.0
3738,arabia,1801,856,spanish,3154.0
3737,arabia,1804,4620,english,3415.0
3739,arabia,1820,1044,italian,3980.0
6292,aragon,1800,2030,spanish,1636.0
6293,aragon,1808,3767,french,4591.0
8876,arbitral,1901,3384,spanish,4728.0
8877,arbitral,1927,9936,french,4641.0
9461,arbitrale,1918,8168,french,3443.0
9460,arbitrale,2007,30596,italian,4133.0
12389,arbitraria,1804,1066,italian,3704.0
12388,arbitraria,1811,196,spanish,3849.0
12421,arbitrario,1804,1042,italian,3793.0
12420,arbitrario,1811,242,spanish,3168.0
